CUSTOMER_ID,INDUSTRY,EMP,ANNUAL_SALES,PROVINCE,MOBILITY,INTERNET
129078,Finance and Insurance,36,NA,AB,10192.825459243955,699.5398685297312
128424,Construction,261,10675108,BC,17367.492872817194,1907.8194104324798
125960,Finance and Insurance,10,756786,AB,6162.609228515732,1789.0179189019764
120981,Construction,31,1223808,BC,19176.373541139485,2123.016417605316
129251,Education,NA,1148650,AB,1538.1941163490317,1620.096542795599
128936,Construction,288,9197420.44,AB,10177.116937860143,8509.512883575635
120612,Construction,287,12744917,BC,18418.01587661791,16184.978194605119
123390,Food Services,14,494593.19999999995,AB,473.0669987577849,2366.373927461017
122024,Education,248,NA,AB,4468.821223396959,9592.091142379251
120487,Agriculture,47,1854011,AB,1675.872926980669,9333.580904071387
124922,Finance and Insurance,33,3098014.5,AB,6951.027856181981,4140.604964527056
126049,Construction,72,3590242,BC,8010.260516323437,0
128641,Food Services,10,271053.6,AB,674.0841124590248,8859.252412894211
125998,Finance and Insurance,25,1592596.5,AB,675.1830969827794,2276.8984744958416
121312,Finance and Insurance,10,836215.5,AB,1530.2804499256674,2106.4133364366457
126852,Healthcare,240,NA,AB,3233.7904991348014,2373.3129566033904
125253,Construction,21,639670.72,AB,1447.4754871464752,5514.806374247065
121256,Healthcare,NA,1363329,BC,5879.573157286176,1636.5294004548725
128570,Finance and Insurance,27,2216085,AB,0,2608.3826609023845
129042,Healthcare,146,9130229,BC,5468.2668196728255,8078.559843814375
126544,Finance and Insurance,10,619505,BC,2083.9782975261646,2258.8623961554945
121667,Construction,54,2063501.84,AB,4520.067083379926,5053.6637456276885
122942,Food Services,27,1424374,BC,1564.8924604401368,1878.7333867767463
121680,Food Services,10,311188,BC,2469.938079498868,1976.9974557030941
122807,Finance and Insurance,12,790082,BC,673.6503225675128,7794.847653156111
124096,Food Services,34,NA,AB,1109.6592253129438,3810.334867381327
123815,Food Services,10,444538,BC,457.7018483769729,0
128352,Construction,788,40981306,BC,25147.68227207002,1379.3198823852122
127237,Finance and Insurance,37,1781372,BC,2679.6190494592056,1989.4262022611028
127803,Agriculture,52,2879098,AB,1173.424425223498,1842.358987462711
122542,Food Services,NA,311983.8,AB,1138.2046751683954,1657.0331122053794
120049,Healthcare,332,18952710,AB,2529.1724312428237,1948.1295584181303
125368,Healthcare,NA,1955238,AB,2320.4357481692487,1670.3630619226449
127889,Education,56,1132384,BC,3920.216001031121,2301.588189743171
121942,Construction,54,NA,BC,3274.783294184641,2821.737555488461
123596,Food Services,67,2628324,AB,1269.4230085468614,2849.1655462324798
126293,Healthcare,71,3959642,AB,2897.4994606513105,1848.6378442265943
127647,Food Services,10,365921,BC,1856.3047367877095,2566.232815350979
120475,Construction,176,NA,AB,7877.864932822548,9667.78623955409
120332,Construction,376,NA,BC,18013.05283649265,6521.646628126293
129862,Construction,857,40809430,BC,25685.379441141034,7857.80638890858
128628,Finance and Insurance,14,1300690.5,AB,4618.7009883712235,5071.201816160634
122588,Construction,305,NA,AB,18054.20454612527,15729.873478586693
128177,Construction,26,972143,BC,3769.920109843805,2993.608389089163
120196,Agriculture,33,1379253,AB,1724.1448787926558,6012.490134555275
125588,Construction,91,3089130.96,AB,3949.647350343169,1932.85382702659
129997,Education,31,1115725,AB,1538.5077683987965,6350.126247863957
125015,Finance and Insurance,10,422942,BC,6918.429220244144,1557.883829016069
122115,Education,20,1472008,AB,0,12624.684653617693
125931,Food Services,19,442509.6,AB,1184.0841208068962,3228.7501895186174
127355,Food Services,29,1781460,BC,1780.805445086603,1886.6207278007005
123271,Healthcare,151,8712604,AB,14967.962151908794,7021.9750218321415
121421,Food Services,10,270186,AB,1432.7452606890122,1620.6847644251422
128909,Construction,NA,11744612.120000001,AB,13217.442375011755,1389.5445421002007
121996,Healthcare,74,4537511,AB,9863.913886084067,9960.801175178462
123929,Food Services,NA,620243,BC,2070.956935083662,1917.5905940892444
122586,Food Services,22,1337907,BC,3812.735159619875,0
126304,Food Services,10,653515,BC,779.6628968493408,7580.01012699967
120320,Finance and Insurance,66,3211410,BC,1847.001059427511,1248.878393912914
124560,Food Services,25,766971,AB,649.5473049618369,1812.830323681926
120908,Construction,NA,6200987,BC,17989.64065560344,0
124575,Food Services,22,572263.2,AB,1419.177299945243,2382.1071493462864
120214,Education,254,9074471,BC,3028.1714225318733,9659.980951675923
125721,Food Services,135,9400626,BC,2790.718781454444,13092.292789497558
127863,Food Services,21,771572,BC,2159.1187526149774,5118.741345194614
128314,Healthcare,212,11219771,AB,4664.988695239085,4856.91286656186
123433,Finance and Insurance,17,1142953.5,AB,1808.0936521571236,2270.473744018872
125094,Education,70,3501703,AB,5314.654194474829,0
121145,Healthcare,54,2081934,AB,45276.20475220802,1915.0296485149709
125617,Agriculture,NA,1596509,BC,921.7390956924362,4481.626265557245
121709,Food Services,18,525999.6,AB,2013.009342808577,3114.799195951812
129587,Construction,145,10238088,BC,11575.425238890379,9729.753213450505
128764,Construction,169,10891063,BC,12261.198478766171,0
127881,Education,64,1939441,BC,4292.8427432189455,1733.0825141813332
127872,Healthcare,18,866146,BC,15449.367610227617,1908.8289502870125
129600,Education,10,561428,BC,890.443106828486,2161.770232795772
123751,Food Services,10,246071.4,AB,528.2597146065148,1706.2313383929902
124035,Construction,NA,2788083.56,AB,6029.4183878508275,2882.6759310909674
127429,Food Services,10,542474,BC,1041.5279188038837,1058.8294709040931
127658,Healthcare,94,3398771,BC,3790.7708534579133,9536.828547217494
124283,Finance and Insurance,209,11053416,BC,5398.402292399609,13361.867758577107
123381,Construction,68,3247809,BC,10975.589220436796,1682.8027676180843
124604,Construction,159,10282169,BC,10106.24129338262,9022.908252169143
125661,Construction,31,1389002,BC,4166.419291102986,1919.5577482451788
128413,Healthcare,138,8677796,AB,8476.029485507366,8877.505733102604
120662,Food Services,124,3840856.8,AB,1494.2462377241804,6460.077078730713
125350,Education,62,NA,BC,3141.854237426017,3736.638688912187
126018,Finance and Insurance,NA,1049323.5,AB,6352.462100409342,2453.2265992430293
124661,Construction,NA,5816230.6,AB,36954.367658587485,4124.299556132049
129165,Food Services,15,579945,BC,1687.3304234591249,2370.095214381744
128148,Healthcare,32,1195130,AB,5254.220872790096,1618.5744203054223
122921,Food Services,100,2411346.6,AB,1114.6942191157066,3864.1433721319063
124887,Food Services,NA,515797.19999999995,AB,456.6640104653095,1306.5515991291554
